fs,D0,N0,D1,N1,D2,N2,R
-29.583984375000007,(-0.07496250420808792+1.026984453201294j),(0.013463953509926796-9.647112165112048e-05j),(-0.07548055052757263+1.0259133577346802j),(0.010029271245002747+0.0010248071048408747j),(-0.07595652341842651+1.0256410837173462j),(0.0047931913286447525+0.0004937203484587371j),(0.9921501278877258+0.0003453576355241239j)
-29.575195312500004,(-0.11448033154010773+1.0085785388946533j),(0.013469969853758812-9.344173304270953e-05j),(-0.1150120198726654+1.0075253248214722j),(0.01003300491720438+0.0010263072326779366j),(-0.1154547706246376+1.0072585344314575j),(0.004795406479388475+0.0004934508469887078j),(0.9920273423194885+0.0003306742000859231j)
-29.566406249999996,(-0.15367262065410614+0.9835218787193298j),(0.013475802727043629-9.040787699632347e-05j),(-0.15421859920024872+0.9824965000152588j),(0.010036589577794075+0.001027807709760964j),(-0.15462566912174225+0.9822384119033813j),(0.004797567613422871+0.0004931807052344084j),(0.9919050931930542+0.00031670485623180866j)
-29.5576171875,(-0.19228525459766388+0.9519707560539246j),(0.013481453992426395-8.736935706110671e-05j),(-0.19284647703170776+0.9509829878807068j),(0.010040025226771832+0.001029308303259313j),(-0.19321615993976593+0.9507359862327576j),(0.0047996761277318+0.0004929096903651953j),(0.9917832612991333+0.000303322565741837j)
-29.548828125,(-0.23006562888622284+0.91412353515625j),(0.013486918993294239-8.432385948253796e-05j),(-0.23064298927783966+0.9131826162338257j),(0.010043308138847351+0.0010308069176971912j),(-0.23097358644008636+0.91294926404953j),(0.004801731090992689+0.0004926391411572695j),(0.9916619658470154+0.0002907685120590031j)
-29.540039062499996,(-0.26676416397094727+0.8702207207679749j),(0.013492199592292309-8.127163891913369e-05j),(-0.26735836267471313+0.869335412979126j),(0.010046442039310932+0.0010323068127036095j),(-0.2676486372947693+0.8691180944442749j),(0.0048037339001894+0.0004923687083646655j),(0.9915410876274109+0.00027894435334019363j)
-29.531249999999993,(-0.3021351099014282+0.8205415606498718j),(0.01349729672074318-7.821722101652995e-05j),(-0.3027471601963043+0.8197202682495117j),(0.010049426928162575+0.0010338019346818328j),(-0.30299633741378784+0.8195209503173828j),(0.00480568315833807+0.0004920975770801306j),(0.9914208054542542+0.0002676531148608774j)
-29.522460937500007,(-0.33593982458114624+0.7654039263725281j),(0.013502209447324276-7.515348261222243e-05j),(-0.3365703523159027+0.7646546959877014j),(0.010052258148789406+0.0010352983372285962j),(-0.336777925491333+0.7644753456115723j),(0.0048075788654387+0.0004918274353258312j),(0.9913011789321899+0.0002572912781033665j)
-29.513671875,(-0.36794671416282654+0.705161988735199j),(0.013506936840713024-7.208759052446112e-05j),(-0.3685966730117798+0.7044915556907654j),(0.010054940357804298+0.0010367955546826124j),(-0.36876213550567627+0.7043337821960449j),(0.0048094214871525764+0.0004915567697025836j),(0.9911820292472839+0.0002474439097568393j)
-29.504882812499993,(-0.3979335129261017+0.6402022242546082j),(0.013511479832231998-6.901581946294755e-05j),(-0.3986034691333771+0.639617919921875j),(0.010057470761239529+0.0010382913751527667j),(-0.39872753620147705+0.6394829154014587j),(0.0048112110234797+0.0004912872682325542j),(0.9910640120506287+0.0002383694372838363j)
-29.49609374999999,(-0.4256892800331116+0.5709437131881714j),(0.013515838421881199-6.593663420062512e-05j),(-0.42637982964515686+0.5704512000083923j),(0.010059851221740246+0.0010397868463769555j),(-0.42646270990371704+0.570340096950531j),(0.004812947008758783+0.0004910174175165594j),(0.9909464716911316+0.0002301086497027427j)
-29.487304687500004,(-0.4510146379470825+0.497833251953125j),(0.013520014472305775-6.28548368695192e-05j),(-0.4517263174057007+0.4974376857280731j),(0.010062078945338726+0.0010412816191092134j),(-0.4517689347267151+0.49735140800476074j),(0.0048146299086511135+0.0004907478578388691j),(0.9908300042152405+0.00022245498257689178j)
-29.478515625,(-0.4737243950366974+0.42134302854537964j),(0.013523999601602554-5.976625470793806e-05j),(-0.47445768117904663+0.42104923725128174j),(0.010064155794680119+0.0010427759261801839j),(-0.47446173429489136+0.4209880232810974j),(0.004816259723156691+0.000490477541461587j),(0.9907141327857971+0.00021551124518737197j)
-29.4697265625,(-0.4936481714248657+0.3419681191444397j),(0.013527803122997284-5.6673798098927364e-05j),(-0.49440354108810425+0.341779887676239j),(0.010066082701086998+0.0010442676721140742j),(-0.49437063932418823+0.34174415469169617j),(0.004817836917936802+0.0004902078071609139j),(0.9905991554260254+0.00020925223361700773j)
-29.460937500000004,(-0.510632336139679+0.2602228820323944j),(0.01353142037987709-5.357556801754981e-05j),(-0.5114099979400635+0.26014283299446106j),(0.010067859664559364+0.0010457605822011828j),(-0.5113420486450195+0.2601322829723358j),(0.0048193600960075855+0.0004899387713521719j),(0.9904853701591492+0.00020372419385239482j)
-29.452148437499996,(-0.524539589881897+0.17663680016994476j),(0.0135348504409194-5.047085141995922e-05j),(-0.5253401398658752+0.17666740715503693j),(0.010069482028484344+0.0010472520953044295j),(-0.5252392292022705+0.17668205499649048j),(0.004820828326046467+0.0004896693862974644j),(0.990372359752655+0.00019889969553332776j)
-29.443359375,(-0.5352522730827332+0.09175290167331696j),(0.01353809330612421-4.736153641715646e-05j),(-0.5360754728317261+0.09189549833536148j),(0.010070952586829662+0.001048743724822998j),(-0.5359447598457336+0.0919342041015625j),(0.004822243470698595+0.0004894003504887223j),(0.9902604818344116+0.00019485116354189813j)
-29.434570312499996,(-0.542671263217926+0.006122514605522156j),(0.013541155494749546-4.4248310587136075e-05j),(-0.5435174107551575+0.0063777584582567215j),(0.010072273202240467+0.0010502339573577046j),(-0.5433595180511475+0.006439602002501488j),(0.004823606926947832+0.0004891321295872331j),(0.9901495575904846+0.00019140305812470615j)
